time_min,strain,experiment,group,replicate,od600
0,PY012,baseline,control,1,0.02
0,PY012,baseline,control,2,0.019
0,PY012,baseline,control,3,0.02
0,PY012,baseline,control,4,0.019
0,PY012,baseline,control,5,0.02
60,PY012,baseline,control,1,0.082
60,PY012,baseline,control,2,0.085
60,PY012,baseline,control,3,0.074
60,PY012,baseline,control,4,0.079
60,PY012,baseline,control,5,0.074
120,PY012,baseline,control,1,0.159
120,PY012,baseline,control,2,0.17
120,PY012,baseline,control,3,0.151
120,PY012,baseline,control,4,0.158
120,PY012,baseline,control,5,0.176
180,PY012,baseline,control,1,0.274
180,PY012,baseline,control,2,0.247
180,PY012,baseline,control,3,0.277
180,PY012,baseline,control,4,0.295
180,PY012,baseline,control,5,0.23
240,PY012,baseline,control,1,0.467
240,PY012,baseline,control,2,0.451
240,PY012,baseline,control,3,0.395
240,PY012,baseline,control,4,0.367
240,PY012,baseline,control,5,0.49
300,PY012,baseline,control,1,0.604
300,PY012,baseline,control,2,0.535
300,PY012,baseline,control,3,0.536
300,PY012,baseline,control,4,0.748
300,PY012,baseline,control,5,0.679
360,PY012,baseline,control,1,1.384
360,PY012,baseline,control,2,1.338
360,PY012,baseline,control,3,1.222
360,PY012,baseline,control,4,1.484
360,PY012,baseline,control,5,1.127
0,PY001,baseline,control,1,0.02
0,PY001,baseline,control,2,0.021
0,PY001,baseline,control,3,0.02
0,PY001,baseline,control,4,0.021
0,PY001,baseline,control,5,0.02
60,PY001,baseline,control,1,0.062
60,PY001,baseline,control,2,0.055
60,PY001,baseline,control,3,0.057
60,PY001,baseline,control,4,0.058
60,PY001,baseline,control,5,0.056
120,PY001,baseline,control,1,0.131
120,PY001,baseline,control,2,0.127
120,PY001,baseline,control,3,0.133
120,PY001,baseline,control,4,0.144
120,PY001,baseline,control,5,0.136
180,PY001,baseline,control,1,0.211
180,PY001,baseline,control,2,0.201
180,PY001,baseline,control,3,0.205
180,PY001,baseline,control,4,0.249
180,PY001,baseline,control,5,0.23
240,PY001,baseline,control,1,0.333
240,PY001,baseline,control,2,0.281
240,PY001,baseline,control,3,0.347
240,PY001,baseline,control,4,0.281
240,PY001,baseline,control,5,0.306
300,PY001,baseline,control,1,0.667
300,PY001,baseline,control,2,0.583
300,PY001,baseline,control,3,0.564
300,PY001,baseline,control,4,0.594
300,PY001,baseline,control,5,0.632
360,PY001,baseline,control,1,1.195
360,PY001,baseline,control,2,0.908
360,PY001,baseline,control,3,0.804
360,PY001,baseline,control,4,0.953
360,PY001,baseline,control,5,0.928
0,MA012,baseline,control,1,0.019
0,MA012,baseline,control,2,0.021
0,MA012,baseline,control,3,0.021
0,MA012,baseline,control,4,0.02
0,MA012,baseline,control,5,0.02
60,MA012,baseline,control,1,0.049
60,MA012,baseline,control,2,0.053
60,MA012,baseline,control,3,0.05
60,MA012,baseline,control,4,0.048
60,MA012,baseline,control,5,0.048
120,MA012,baseline,control,1,0.122
120,MA012,baseline,control,2,0.113
